,2017,2018,2019,2020,2021,2022
Ene,93.603,98.795,103.102,106.447,110.20,118.002
Feb,94.144,99.171,103.078,106.889,110.907,0
Mar,94.721,99.492,103.476,106.837,111.824,0
Abr,94.838,99.155,103.531,105.755,112.19,0
May,94.724,98.994,103.233,106.162,112.419,0
Jun,94.963,99.376,103.299,106.742,113.018,0
Jul,95.322,99.909,103.687,107.444,113.682,0
Ago,95.793,100.492,103.67,107.867,113.899,0
Sep,96.093,100.917,103.941,108.114,114.601,0
Oct,96.697,101.44,104.503,108.774,115.561,0
Nov,97.694,102.303,105.346,108.855,116.884,0
Dic,98.272,103.02,105.934,109.271,117.308,0
